Yoruba,English
"ọmú, ọyọ̀n",breast
ọkàn,heart
ẹ́dọ,liver
mu,to drink
"jẹ, jẹun",to eat
"gé jẹ, bù jẹ",to bite
"mu ọmú, fi ẹnu fà mu",to suck
tutọ́,to spit
"bì, pọ̀ jade",to vomit
mí kíkanfẹ́ (?),"to blow
(as wind)"
mí,to breathe
rẹrin,to laugh
"rí, fojú rí, ríran",to see
"gbọ, tẹtí sí",to hear
mọ̀,"to know
(a fact)"
"rò, ronú, wòye",to think
gbórùn,"to smell
(sense odor)"
"ẹ̀rù, ìfòyà (?)",to fear
"sùn, simi",to sleep
wà láyé,to live
"kú, ṣaláìsí",to die
"pa, gbẹ̀mí",to kill
"ìjà, jagun (?)",to fight
"dẹ, lé, ṣọdẹ","to hunt
(transitive)"
"gbá, nà, lù",to hit
"gé, ké, ṣá, yún",to cut
"là, pín, là wẹ́wẹ́",to split
"gún lọ́bẹ,
fi ohun mímún gún (?)","to stab
(or stick)"
"họ, ya, yún,
ya ni nkan","to scratch
(an itch)"
"walẹ̀, wà nílẹ̀, wáàdí",to dig
"lúwẹ̀, wẹ̀",to swim
"fò, fò-lọ",to fly
"rìn, fi ẹsẹ̀ rìn",to walk
wá,to come
"dùbúlê, nà gbôôrô (?)","to lie
(as on one's side)"
jókó,to sit
"dúró, dìde, nàró",to stand
yípadà,"to turn
(change direction)"
"ṣubú, wó (?)","to fall
(as in drop)"
"fi fún, fi bùn, jìn",to give
"dìmú, gbámú","to hold
(in one's hand)"
"fún pọ̀, há láyè",to squeeze
"gbo, pa, fi ra, fi pa",to rub
"wẹ̀, fọ̀ bọ́",to wash
"nù, nùkúrò",to wipe
fà,to pull
"tì, tari",to push
"sọ, jù, fi sọ̀kò",to throw
"dì, so, se kókó",to tie
rán-ṣọkósọ (?),to sew
"kà, rò, ṣírò",to count
"wí, sọ",to say
kọrin,to sing
ṣiré,to play
"lefó, fó lójú omi",to float
ṣàn,to flow
dì,to freeze
wú,to swell
òrùn,sun
"oṣù, òṣùpá",moon
ìràwọ̀,star
omi,water
òjò,rain
odò,river
adágún,lake
òkun omi-iyọ́,"sea
(as in ocean)"
iyọ̀,salt
òkúta,stone
yanrìn,sand
eruku,dust
"ilẹ̀, erùpẹ̀","earth
(as in soil)"
gùdẹ (?),cloud
"ìkùúkùù, kùrukùru",fog
"ọ̀run, ojú ọ̀run",sky
"afẹ́fẹ́, ẹ̀fúfú","wind
(as in breeze)"
"ìrì dídìòjò dídì (?)
yìnyín ti ohun jábọ́ lójú ọ̀run (?)",snow
"yìnyín, omi dídì",ice
éfí,smoke
iná,fire
eérú,ash
"sún, jóná, mú gbóná","to burn
(intransitive)"
ọ̀nà,road
òkè gíga,mountain
"pọ́n, pupa (?)",red
aláwọ̀ ewé,green
pupa rúsúrúsú bí àwọ ìyeyè (?),yellow
funfun,white
"aláwọ̀ dúdú, ṣú",black
òru,night
"ọjọ́, ọ̀sán","day
(daytime)"
ọdún,year
"gbóná diẹ, lílọ́ wọ́rọ́","warm
(as in weather)"
tutù,"cold
(as in weather)"
kún,full
"titun, àkọtun",new
"ìdarúgbó, ìdàgbà, gbó, ìhewú",old
"rere, suwọ̀n, dára",good
"burú, burúkú, búburú",bad
"dìbàjẹ́, rà","rotten
(as, a log)"
"léèrí, lẹgbin, àìmọ́, lọ́bùn",dirty
"tàrà, tọ, láìwọ",straight
òbìrìkìtì (?),round
"mímú, yára se kan","sharp
(as a knife)"
"kúnú, àìmú, lọ́ra, kújú, yòpe","dull
(as a knife)"
"tẹ́jú, tẹ́rẹrẹ, ọ̀bọ̀rọ́",smooth
"rin, tutu",wet
"gbígbẹ, gbẹ, gbẹrẹfu, láìlómi","dry
(adjective)"
"títọ́, tó yẹ, dára","right
(correct)"
"nítòsí, súnmọ́ra",near
"jìnà, jijina",far
ọ̀tún,"right
(side)"
òsì,"left
(side)"
"ní, níbí, lí",at
"nínú, ní",in
"pẹ̀lú, àti, lọ́dọ̀, bá, fi, dání","with
(accompanying)"
"àti, sì",and
"bí, bí ó bá",if
"nítorí, nítorítí",because
orúkọ,name
